frequency,onoise_spectrum
1.00000000e+06,3.92184689e-08
1.12201845e+06,3.79774351e-08
1.25892541e+06,3.68146457e-08
1.41253754e+06,3.57263364e-08
1.58489319e+06,3.47088573e-08
1.77827941e+06,3.37586676e-08
1.99526231e+06,3.28723304e-08
2.23872114e+06,3.20465103e-08
2.51188643e+06,3.12779705e-08
2.81838293e+06,3.05635719e-08
3.16227766e+06,2.99002726e-08
3.54813389e+06,2.92851280e-08
3.98107171e+06,2.87152921e-08
4.46683592e+06,2.81880182e-08
5.01187234e+06,2.77006603e-08
5.62341325e+06,2.72506747e-08
6.30957344e+06,2.68356210e-08
7.07945784e+06,2.64531634e-08
7.94328235e+06,2.61010705e-08
8.91250938e+06,2.57772158e-08
1.00000000e+07,2.54795772e-08
1.12201845e+07,2.52062350e-08
1.25892541e+07,2.49553707e-08
1.41253754e+07,2.47252635e-08
1.58489319e+07,2.45142872e-08
1.77827941e+07,2.43209057e-08
1.99526231e+07,2.41436676e-08
2.23872114e+07,2.39812004e-08
2.51188643e+07,2.38322033e-08
2.81838293e+07,2.36954394e-08
3.16227766e+07,2.35697267e-08
3.54813389e+07,2.34539277e-08
3.98107171e+07,2.33469386e-08
4.46683592e+07,2.32476767e-08
5.01187234e+07,2.31550667e-08
5.62341325e+07,2.30680267e-08
6.30957344e+07,2.29854537e-08
7.07945784e+07,2.29062094e-08
7.94328235e+07,2.28291079e-08
8.91250938e+07,2.27529081e-08
1.00000000e+08,2.26763123e-08
1.12201845e+08,2.25979741e-08
1.25892541e+08,2.25165207e-08
1.41253754e+08,2.24305892e-08
1.58489319e+08,2.23388799e-08
1.77827941e+08,2.22402213e-08
1.99526231e+08,2.21336407e-08
2.23872114e+08,2.20184281e-08
2.51188643e+08,2.18941782e-08
2.81838293e+08,2.17607982e-08
3.16227766e+08,2.16184687e-08
3.54813389e+08,2.14675517e-08
3.98107171e+08,2.13084423e-08
4.46683592e+08,2.11413696e-08
5.01187234e+08,2.09661562e-08
5.62341325e+08,2.07819603e-08
6.30957344e+08,2.05870306e-08
7.07945784e+08,2.03785113e-08
7.94328235e+08,2.01523270e-08
8.91250938e+08,1.99031693e-08
1.00000000e+09,1.96245975e-08
1.12201845e+09,1.93092647e-08
1.25892541e+09,1.89492779e-08
1.41253754e+09,1.85367076e-08
1.58489319e+09,1.80642508e-08
1.77827941e+09,1.75260267e-08
1.99526231e+09,1.69184420e-08
2.23872114e+09,1.62410114e-08
2.51188643e+09,1.54969712e-08
2.81838293e+09,1.46935210e-08
3.16227766e+09,1.38415742e-08
3.54813389e+09,1.29550000e-08
3.98107171e+09,1.20494672e-08
4.46683592e+09,1.11410996e-08
5.01187234e+09,1.02451860e-08
5.62341325e+09,9.37515232e-09
6.30957344e+09,8.54190746e-09
7.07945784e+09,7.75357862e-09
7.94328235e+09,7.01557238e-09
8.91250938e+09,6.33086123e-09
1.00000000e+10,5.70039186e-09
1.12201845e+10,5.12352989e-09
1.25892541e+10,4.59848316e-09
1.41253754e+10,4.12267067e-09
1.58489319e+10,3.69302428e-09
1.77827941e+10,3.30622298e-09
1.99526231e+10,2.95886665e-09
2.23872114e+10,2.64759920e-09
2.51188643e+10,2.36919158e-09
2.81838293e+10,2.12059408e-09
3.16227766e+10,1.89896592e-09
3.54813389e+10,1.70168843e-09
3.98107171e+10,1.52636697e-09
4.46683592e+10,1.37082494e-09
5.01187234e+10,1.23309275e-09
5.62341325e+10,1.11139347e-09
6.30957344e+10,1.00412655e-09
7.07945784e+10,9.09850434e-10
7.94328235e+10,8.27264637e-10
8.91250938e+10,7.55192000e-10
1.00000000e+11,6.92561432e-10
1.12201845e+11,6.38391825e-10
1.25892541e+11,5.91777747e-10
1.41253754e+11,5.51877556e-10
1.58489319e+11,5.17904442e-10
1.77827941e+11,4.89120627e-10
1.99526231e+11,4.64834487e-10
2.23872114e+11,4.44399942e-10
2.51188643e+11,4.27217129e-10
2.81838293e+11,4.12733284e-10
3.16227766e+11,4.00442947e-10
3.54813389e+11,3.89886992e-10
3.98107171e+11,3.80650431e-10
4.46683592e+11,3.72359378e-10
5.01187234e+11,3.64677847e-10
5.62341325e+11,3.57305219e-10
6.30957344e+11,3.49975221e-10
7.07945784e+11,3.42457073e-10
7.94328235e+11,3.34559045e-10
