frequency,db(v(vout))
1.41253754e+11,-2.09613060e+01
1.58489319e+11,-2.09594239e+01
1.77827941e+11,-2.09565965e+01
1.99526231e+11,-2.09528319e+01
2.23872114e+11,-2.09481333e+01
2.51188643e+11,-2.09425021e+01
2.81838293e+11,-2.09359360e+01
3.16227766e+11,-2.09284222e+01
3.54813389e+11,-2.09199236e+01
3.98107171e+11,-2.09103621e+01
4.46683592e+11,-2.08995980e+01
5.01187234e+11,-2.08874114e+01
5.62341325e+11,-2.08734846e+01
6.30957344e+11,-2.08573899e+01
7.07945784e+11,-2.08385803e+01
7.94328235e+11,-2.08163866e+01
8.91250938e+11,-2.07900185e+01
1.00000000e+12,-2.07585735e+01
