time,v(vout)
5.10350000e-07,2.54458265e-04
5.10450000e-07,2.53496907e-04
5.10550000e-07,2.50849023e-04
5.10650000e-07,2.49581743e-04
5.10750000e-07,2.47822618e-04
5.10850000e-07,2.46724313e-04
5.10950000e-07,2.45565903e-04
5.11050000e-07,2.44831307e-04
5.11150000e-07,2.44214117e-04
5.11250000e-07,2.43966304e-04
5.11350000e-07,2.43938604e-04
5.11450000e-07,2.44305879e-04
5.11550000e-07,2.44988159e-04
5.11650000e-07,2.46142226e-04
5.11750000e-07,2.47734347e-04
5.11850000e-07,2.49937993e-04
5.11950000e-07,2.52780993e-04
5.12050000e-07,2.56505232e-04
5.12150000e-07,2.61268994e-04
5.12250000e-07,2.67500935e-04
5.12350000e-07,2.75666255e-04
5.12450000e-07,2.86647220e-04
5.12550000e-07,3.01599490e-04
5.12650000e-07,3.22397547e-04
5.12750000e-07,3.51617272e-04
5.12850000e-07,3.93088212e-04
5.12950000e-07,4.52042961e-04
5.13050000e-07,5.35819049e-04
5.13150000e-07,6.54199335e-04
5.13250000e-07,8.42427490e-04
5.13350000e-07,1.07892427e-03
5.13450000e-07,1.40533967e-03
5.13550000e-07,1.84329821e-03
5.13650000e-07,2.42159264e-03
5.13750000e-07,3.16858824e-03
5.13850000e-07,4.11087776e-03
5.13950000e-07,5.27305410e-03
5.14050000e-07,6.67278489e-03
5.14150000e-07,8.32443754e-03
5.14250000e-07,1.02347302e-02
5.14350000e-07,1.24085656e-02
5.14450000e-07,1.48453927e-02
5.14550000e-07,1.75455386e-02
5.14650000e-07,2.05064664e-02
5.14750000e-07,2.37286978e-02
5.14850000e-07,2.72116198e-02
5.14950000e-07,3.09587523e-02
5.15050000e-07,3.49727578e-02
5.15150000e-07,3.92590969e-02
5.15250000e-07,4.38121495e-02
5.15350000e-07,4.86211582e-02
5.15450000e-07,5.36433490e-02
5.15550000e-07,5.89606789e-02
5.15650000e-07,6.56958379e-02
5.15750000e-07,7.58108318e-02
5.15850000e-07,8.98161304e-02
5.15950000e-07,1.09100003e-01
5.16050000e-07,1.35676374e-01
5.16150000e-07,1.71439723e-01
5.16250000e-07,2.15602517e-01
5.16350000e-07,2.57924446e-01
5.16450000e-07,2.86046056e-01
5.16550000e-07,3.04800224e-01
5.16650000e-07,3.22594177e-01
5.16750000e-07,3.41005900e-01
5.16850000e-07,3.59378729e-01
5.16950000e-07,3.77577262e-01
5.17050000e-07,3.95695953e-01
5.17150000e-07,4.13754312e-01
5.17250000e-07,4.31746225e-01
5.17350000e-07,4.49669542e-01
5.17450000e-07,4.67523184e-01
5.17550000e-07,4.85300439e-01
5.17650000e-07,5.02992821e-01
5.17750000e-07,5.20586222e-01
5.17850000e-07,5.38062370e-01
5.17950000e-07,5.55393380e-01
5.18050000e-07,5.72541004e-01
5.18150000e-07,5.89448425e-01
5.18250000e-07,6.06035768e-01
5.18350000e-07,6.22189932e-01
5.18450000e-07,6.37764208e-01
5.18550000e-07,6.52586705e-01
5.18650000e-07,6.66493065e-01
5.18750000e-07,6.79362771e-01
5.18850000e-07,6.91143167e-01
5.18950000e-07,7.01841311e-01
5.19050000e-07,7.11505529e-01
5.19150000e-07,7.20205024e-01
5.19250000e-07,7.28019758e-01
5.19350000e-07,7.35031584e-01
5.19450000e-07,7.41321562e-01
5.19550000e-07,7.46965911e-01
5.19650000e-07,7.52035970e-01
5.19750000e-07,7.56596208e-01
5.19850000e-07,7.60705230e-01
5.19950000e-07,7.64414812e-01
5.20000000e-07,7.66134066e-01
5.20010000e-07,7.65773269e-01
5.20030000e-07,7.65300495e-01
5.20070000e-07,7.65040535e-01
5.20150000e-07,7.64916337e-01
5.20250000e-07,7.64812844e-01
5.20350000e-07,7.64749527e-01
5.20450000e-07,7.64688563e-01
5.20550000e-07,7.64633379e-01
5.20650000e-07,7.64578984e-01
5.20750000e-07,7.64526992e-01
5.20850000e-07,7.64476463e-01
5.20950000e-07,7.64427651e-01
5.21050000e-07,7.64380450e-01
5.21150000e-07,7.64334736e-01
5.21250000e-07,7.64290597e-01
5.21350000e-07,7.64247820e-01
5.21450000e-07,7.64206541e-01
5.21550000e-07,7.64166529e-01
5.21650000e-07,7.64127929e-01
5.21750000e-07,7.64090514e-01
5.21850000e-07,7.64054426e-01
5.21950000e-07,7.64019446e-01
5.22050000e-07,7.63985713e-01
5.22150000e-07,7.63953015e-01
5.22250000e-07,7.63921488e-01
5.22350000e-07,7.63890928e-01
5.22450000e-07,7.63861469e-01
5.22550000e-07,7.63832912e-01
5.22650000e-07,7.63805388e-01
5.22750000e-07,7.63778706e-01
5.22850000e-07,7.63752994e-01
5.22950000e-07,7.63728068e-01
5.23050000e-07,7.63704052e-01
5.23150000e-07,7.63680769e-01
5.23250000e-07,7.63658339e-01
5.23350000e-07,7.63636592e-01
5.23450000e-07,7.63615646e-01
5.23550000e-07,7.63595337e-01
5.23650000e-07,7.63575779e-01
5.23750000e-07,7.63556814e-01
5.23850000e-07,7.63538554e-01
5.23950000e-07,7.63520846e-01
5.24050000e-07,7.63503798e-01
5.24150000e-07,7.63487265e-01
5.24250000e-07,7.63471352e-01
5.24350000e-07,7.63455916e-01
5.24450000e-07,7.63441062e-01
5.24550000e-07,7.63426653e-01
5.24650000e-07,7.63412789e-01
5.24750000e-07,7.63399338e-01
5.24850000e-07,7.63386399e-01
5.24950000e-07,7.63373844e-01
5.25050000e-07,7.63361769e-01
5.25150000e-07,7.63350050e-01
5.25250000e-07,7.63338782e-01
5.25350000e-07,7.63327845e-01
5.25450000e-07,7.63317330e-01
5.25550000e-07,7.63307123e-01
5.25650000e-07,7.63297312e-01
5.25750000e-07,7.63287786e-01
5.25850000e-07,7.63278632e-01
5.25950000e-07,7.63269742e-01
5.26050000e-07,7.63261201e-01
5.26150000e-07,7.63252906e-01
5.26250000e-07,7.63244938e-01
5.26350000e-07,7.63237197e-01
5.26450000e-07,7.63229764e-01
5.26550000e-07,7.63222541e-01
5.26650000e-07,7.63215606e-01
5.26750000e-07,7.63208866e-01
5.26850000e-07,7.63202397e-01
5.26950000e-07,7.63196109e-01
5.27050000e-07,7.63190074e-01
5.27150000e-07,7.63184207e-01
